Timestamp,Namespace,PodName,ContainerName,LogEntry
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link NetLock_Arany_=Class_Gold=_Főtanúsítvány.pem -> 988a38cb.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Hongkong_Post_Root_CA_3.pem -> 68dd7389.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link SwissSign_Silver_CA_-_G2.pem -> 57bcb2da.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link QuoVadis_Root_CA_1_G3.pem -> 749e9e03.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link GlobalSign_Root_CA_-_R6.pem -> dc4d6a89.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Microsec_e-Szigno_Root_CA_2009.pem -> 8160b96c.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link DigiCert_Trusted_Root_G4.pem -> 75d1b2ed.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link SSL.com_Root_Certification_Authority_ECC.pem -> 0bf05006.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link AffirmTrust_Commercial.pem -> 2b349938.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link IdenTrust_Commercial_Root_CA_1.pem -> ef954a4e.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link QuoVadis_Root_CA_2.pem -> d7e8dc79.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link GlobalSign_Root_CA.pem -> 5ad8a5d6.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link SSL.com_Root_Certification_Authority_RSA.pem -> 6fa5da56.0"
